	numbers
включи	515
написать	516
чат	517
позвать	518
живого	519
нормального	520
бота	521
хомо	522
сапиенсом	523
виртуального	524
помощника	525
телефону	526
связали	527
отвечал	528
специалисту	529
хотите	530
специалист？н	531
е	532
ответят	533
подключилась	534
подключен	535
платным	536
услугам	537
ведома？	538
вопросов	539
поддержку	540
посуточным	541
списанием	542
платы	543
чего	544
которая	545
типа	546
подключает	547
переходе	548
изменили	549
никаких	550
опций	551
какую	552
одна	553
хотя	554
связано	555
восстановил	556
восстановила	557
отправленные	558
кодом	559
ответа	560
оплатить	561
заказ	562
исправить	563
ошибку	564
перевода	565
дней¿	566
эти	567
списывались	568
сети	569
том	570
звонили	571
отправляются	572
опять	573
подключить	574
могли	575
такой	576
приходила	577
решить	578
извините	579
включите	580
такая	581
него	582
«	583
»	584
списания	585
смски	586
посмотрите	587
привет	588
"приходит
"	589
зайти	590
сбербанка	591
одноразовым	592
паролем	593
сменил	594
теперь	595
сохранить	596
отображается	597
стоимость	598
минута	599
звонке	600
московского	601
мог	602
местный	603
здравствует	604
переезд	605
другую	606
одного	607
оставив	608
тв	609
показывалипоказывали	610
новости	611
личные	612
данные	613
фамилии	614
использования	615
заменить	616
звонки	617
домашнем	618
регионе	619
симкарты	620
поменяется	621
приложении	622
пакет	623
домашнего	624
изменился	625
замены	626
изменится	627
сменит	628
имею	629
виду	630
действующего	631
поменяйте	632
здесь	633
расхождений	634
посещения	635
центра	636
снова	637
сменился	638
никогда	639
такого	640
впервые	641
основному	642
заплатил	643
должен	644
платить	645
месяц	646
функция	647
горячую	648
линию	649
режиме	650
ожидания	651
провела	652
порядка	653
тоже	654
конечно	655
бесплатный	656
извини	657
"специалиста
"	658
вашего	659
технической	660
смотрела	661
робота	662
модема	663
карте	664
забыли	665
варианты	666
😐	667
приобретена	668
два	669
раза	670
восстанавливался	671
сервис	672
находится	673
далеко	674
напомнить	675
приложение	676
получить	677
один	678
помнишь	679
ты	680
ни	681
обращении	682
контактый	683
центр	684
озвучить	685
покупки	686
банк	687
тяжело	688
пойму	689
дело	690
после	691
отключается	692
разговор	693
можете？	694
много	695
обяснить	696
проблему	697
дравствуйте	698
вертуальный	699
зависает	700
часов	701
звоню	702
потеряно	703
будут	704
звонить	705
просьбу	706
лучше	707
вопросы	708
удобно	709
